cliente_id,segmento,canal_principal,ciudad,categoria_favorita,fecha_primera_compra,fecha_ultima_compra,recencia_dias,frecuencia,valor_total_cop,ticket_promedio,duracion_relacion_dias,compras_ultimo_trim,compras_ultimo_anio,variacion_frecuencia,max_gap_entre_compras,tiene_descuentos,n_categorias_compradas,usa_app,nps_score,churn
CLI00001,Regular,Tienda física,Ibagué,Hogar,2024-03-03,2024-12-09,82,7,1111099,158728,282,1,7,0.7447,104,1,1,1,8,0
CLI00002,Online,App móvil,Medellín,Tecnología,2023-01-06,2025-02-25,4,21,2857229,136058,782,1,9,0.8056,159,1,3,0,9,0
CLI00003,Ocasional,Tienda física,Bucaramanga,Tecnología,2023-02-07,2025-02-23,6,2,228257,114128,748,1,1,0.0802,747,1,2,0,9,0
CLI00004,Ocasional,Tienda física,Barranquilla,Libros,2023-04-18,2025-02-23,6,3,299051,99683,678,1,2,0.1327,381,1,2,0,10,0
CLI00005,Regular,Tienda física,Ibagué,Belleza,2023-02-21,2025-02-08,21,7,1283261,183323,719,1,2,0.2921,307,1,2,1,8,0
CLI00006,Regular,App móvil,Barranquilla,Belleza,2023-01-05,2024-12-09,82,14,2529312,180665,705,1,7,0.5957,160,1,4,1,5,0
CLI00007,Premium,Teléfono,Ibagué,Tecnología,2023-03-18,2024-12-19,72,17,6350525,373560,643,1,8,0.7932,101,1,4,0,10,0
CLI00008,Online,Teléfono,Bogotá,Belleza,2023-01-02,2025-02-27,2,14,2280716,162908,788,1,6,0.533,117,0,3,0,10,0
CLI00009,Ocasional,E-commerce,Cali,Calzado,2023-03-13,2024-12-26,65,5,407746,81549,655,1,1,0.229,305,0,1,0,8,0
CLI00010,Ocasional,Tienda física,Medellín,Belleza,2023-09-30,2024-08-07,206,5,510047,102009,313,0,1,0.4792,186,1,1,0,5,1
CLI00011,Premium,App móvil,Pereira,Deportes,2023-01-01,2025-02-12,17,18,6712461,372914,774,1,6,0.6977,169,1,2,1,7,0
CLI00012,Online,E-commerce,Montería,Belleza,2023-03-10,2024-12-15,76,13,1747187,134399,647,1,9,0.6028,229,1,2,0,10,0
CLI00013,Corporativo,E-commerce,Bucaramanga,Ropa,2023-01-28,2024-12-17,74,27,22179994,821481,690,1,11,1.1739,112,1,2,0,4,0
CLI00014,Regular,Teléfono,Pereira,Ropa,2023-02-22,2024-12-20,71,9,1434639,159404,668,1,6,0.4042,174,0,1,1,1,0
CLI00015,Regular,App móvil,Bogotá,Tecnología,2023-01-06,2025-01-10,50,17,2596254,152720,736,1,8,0.6929,130,1,2,1,8,0
CLI00016,Regular,Tienda física,Ibagué,Tecnología,2023-03-17,2025-02-05,24,11,1753381,159398,692,1,5,0.4769,170,1,3,0,6,0
CLI00017,Regular,App móvil,Medellín,Tecnología,2023-03-04,2025-01-19,41,8,1178360,147295,688,1,4,0.3488,244,1,1,1,6,0
CLI00018,Regular,App móvil,Montería,Ropa,2024-02-04,2025-01-26,34,4,474700,118675,358,1,3,0.3352,135,1,3,0,10,0
CLI00019,Regular,Tienda física,Cali,Calzado,2023-01-24,2024-12-07,84,6,1057053,176175,684,1,1,0.2632,306,1,1,0,5,0
CLI00020,Regular,Teléfono,Montería,Libros,2023-01-20,2025-01-23,37,9,1737557,193061,735,1,3,0.3673,215,1,4,0,3,0
CLI00021,Ocasional,Teléfono,Cúcuta,Belleza,2023-09-20,2024-02-02,393,3,302794,100931,136,0,0,0.6618,103,1,1,1,9,1
CLI00022,Regular,Tienda física,Montería,Calzado,2023-04-16,2024-12-02,89,9,1317437,146381,597,1,4,0.4523,226,0,1,0,6,0
CLI00023,Regular,E-commerce,Cartagena,Libros,2023-03-18,2025-01-28,32,12,2093152,174429,683,1,6,0.5271,151,0,2,1,10,0
CLI00024,Regular,E-commerce,Bucaramanga,Calzado,2023-10-23,2025-02-15,14,11,1822153,165650,482,2,7,0.6846,165,1,1,0,7,0
CLI00025,Regular,Teléfono,Cartagena,Belleza,2023-01-10,2024-03-02,364,13,2375679,182744,418,0,1,0.933,84,0,4,0,5,1
CLI00026,Corporativo,Teléfono,Montería,Deportes,2023-01-04,2025-01-10,50,29,23694012,817034,738,1,8,1.1789,73,1,4,0,8,0
CLI00027,Regular,Teléfono,Barranquilla,Deportes,2023-04-08,2025-02-06,23,16,3070266,191891,671,1,6,0.7154,215,1,2,0,7,0
CLI00028,Regular,Teléfono,Ibagué,Libros,2023-01-18,2024-12-06,85,13,2924081,224929,689,1,8,0.566,291,0,4,1,9,0
CLI00029,Ocasional,Teléfono,Barranquilla,Ropa,2023-04-06,2023-07-28,582,2,141580,70790,114,0,0,0.5263,113,0,1,0,8,1
CLI00030,Premium,Teléfono,Cúcuta,Hogar,2023-01-20,2024-08-18,195,19,6579639,346296,577,0,4,0.9879,111,0,4,0,7,1
CLI00031,Ocasional,Teléfono,Barranquilla,Calzado,2023-06-25,2024-12-09,82,2,94668,47334,534,1,1,0.1124,533,1,2,1,7,0
CLI00032,Regular,E-commerce,Medellín,Hogar,2023-03-05,2024-01-19,407,8,1391720,173965,321,0,0,0.7477,159,1,4,1,2,1
CLI00033,Premium,E-commerce,Pereira,Ropa,2023-01-25,2025-01-06,54,14,5609402,400671,713,2,3,0.5891,285,1,4,1,7,0
CLI00034,Online,Tienda física,Medellín,Belleza,2023-01-24,2024-04-25,310,12,1689371,140780,458,0,2,0.786,117,1,4,1,3,1
CLI00035,Online,Tienda física,Cartagena,Ropa,2023-09-25,2025-01-18,42,11,1783476,162134,482,1,5,0.6846,133,0,1,0,10,0
CLI00036,Corporativo,Tienda física,Cali,Calzado,2023-02-18,2025-02-03,26,17,12322491,724852,717,1,8,0.7113,117,1,1,0,9,0
CLI00037,Regular,E-commerce,Medellín,Belleza,2023-01-10,2025-01-11,49,7,1101947,157421,733,1,2,0.2865,203,0,1,0,9,0
CLI00038,Premium,Teléfono,Cartagena,Belleza,2023-04-18,2025-02-23,6,13,3649509,280731,678,2,5,0.5752,241,0,4,0,8,0
CLI00039,Ocasional,Teléfono,Ibagué,Calzado,2023-02-27,2024-12-24,67,6,481151,80191,667,1,1,0.2699,476,1,2,0,4,0
CLI00040,Regular,App móvil,Cartagena,Calzado,2023-02-18,2025-01-02,58,14,2330545,166467,685,1,4,0.6131,186,0,3,0,8,0
CLI00041,Regular,Teléfono,Pereira,Hogar,2023-02-05,2024-05-31,274,6,1227046,204507,482,0,1,0.3734,169,0,1,1,4,1
CLI00042,Regular,App móvil,Bucaramanga,Belleza,2023-03-21,2025-01-28,32,7,1270111,181444,680,1,1,0.3088,377,1,3,0,7,0
CLI00043,Premium,Tienda física,Cúcuta,Ropa,2023-01-02,2025-01-27,33,26,8735366,335975,757,1,16,1.0304,126,1,1,0,9,0
CLI00044,Online,Tienda física,Medellín,Hogar,2023-01-04,2025-02-12,17,15,2396288,159752,771,2,7,0.5837,117,1,1,1,10,0
CLI00045,Regular,E-commerce,Cúcuta,Hogar,2023-06-30,2025-01-21,39,5,776050,155210,572,1,3,0.2622,172,1,4,1,9,0
CLI00046,Ocasional,Tienda física,Ibagué,Belleza,2023-04-11,2025-01-05,55,3,243100,81033,636,1,1,0.1415,582,1,1,0,7,0
CLI00047,Regular,App móvil,Pereira,Tecnología,2023-02-26,2025-02-18,11,17,3031547,178326,724,3,10,0.7044,120,0,3,0,9,0
CLI00048,Regular,App móvil,Pereira,Tecnología,2023-02-12,2024-12-06,85,15,2654536,176969,664,1,9,0.6777,122,1,3,0,10,0
CLI00049,Ocasional,Tienda física,Bucaramanga,Belleza,2023-06-23,2024-12-26,65,4,333889,83472,553,1,1,0.217,448,1,3,1,6,0
CLI00050,Regular,E-commerce,Pereira,Deportes,2023-01-16,2024-02-01,394,9,1499311,166590,382,0,0,0.7068,158,0,3,1,5,1
CLI00051,Online,Tienda física,Pereira,Tecnología,2023-01-23,2024-12-09,82,16,2631869,164491,687,1,3,0.6987,171,1,3,1,10,0
CLI00052,Corporativo,E-commerce,Montería,Hogar,2023-02-21,2024-12-25,66,17,14052230,826601,674,1,6,0.7567,137,0,4,1,10,0
CLI00053,Online,Teléfono,Pereira,Ropa,2023-02-19,2024-12-13,78,19,2737225,144064,664,1,9,0.8584,99,1,2,1,10,0
CLI00054,Online,App móvil,Ibagué,Deportes,2023-01-04,2024-03-15,351,16,2496081,156005,437,0,1,1.0984,112,0,4,0,4,1
CLI00055,Ocasional,Teléfono,Pereira,Calzado,2023-10-05,2023-10-11,507,2,214016,107008,7,0,0,2.0,6,0,1,0,3,1
CLI00056,Online,Teléfono,Cali,Hogar,2023-01-16,2025-01-07,53,5,904213,180842,723,1,1,0.2075,325,0,2,0,9,0
CLI00057,Premium,Teléfono,Medellín,Libros,2023-02-08,2025-02-16,13,15,4088280,272552,740,2,7,0.6081,113,1,4,0,9,0
CLI00058,Regular,Tienda física,Medellín,Hogar,2023-01-28,2024-12-28,63,11,2240457,203677,701,1,6,0.4708,150,1,3,0,3,0
CLI00059,Premium,Tienda física,Ibagué,Libros,2023-03-26,2025-02-21,8,13,4706983,362075,699,1,6,0.5579,174,1,2,0,9,0
CLI00060,Regular,Teléfono,Montería,Ropa,2023-02-24,2025-01-30,30,21,3625626,172648,707,1,8,0.8911,95,0,4,1,8,0
CLI00061,Regular,App móvil,Barranquilla,Belleza,2023-01-10,2024-05-24,281,10,2249525,224952,501,0,3,0.5988,185,1,3,0,6,1
CLI00062,Regular,App móvil,Cartagena,Belleza,2023-02-07,2024-08-19,194,9,1776882,197431,560,0,5,0.4821,182,1,2,1,5,1
CLI00063,Corporativo,Tienda física,Pereira,Calzado,2023-01-03,2025-01-13,47,23,17114800,744121,742,1,11,0.9299,120,0,3,0,10,0
CLI00064,Regular,E-commerce,Medellín,Belleza,2023-01-29,2024-05-13,292,10,1563732,156373,471,0,2,0.6369,107,0,3,0,2,1
CLI00065,Regular,Teléfono,Ibagué,Belleza,2023-01-25,2025-02-23,6,14,2458569,175612,761,1,6,0.5519,136,0,4,0,10,0
CLI00066,Ocasional,Tienda física,Cartagena,Ropa,2023-10-22,2024-12-12,79,2,246842,123421,418,1,1,0.1435,417,1,1,0,4,0
CLI00067,Regular,Tienda física,Pereira,Tecnología,2023-04-16,2024-03-26,340,5,895183,179036,346,0,1,0.4335,132,0,1,1,3,1
CLI00068,Corporativo,E-commerce,Cúcuta,Calzado,2023-06-13,2025-02-12,17,14,11118872,794205,611,2,10,0.6874,231,0,1,0,2,0
CLI00069,Premium,Teléfono,Cartagena,Deportes,2023-01-26,2025-02-27,2,16,5498801,343675,764,3,9,0.6283,157,1,4,0,10,0
CLI00070,Online,Teléfono,Medellín,Tecnología,2023-01-05,2024-10-09,143,12,1883994,156999,644,0,3,0.559,198,1,2,1,3,1
CLI00071,Corporativo,E-commerce,Pereira,Tecnología,2023-01-28,2024-12-09,82,32,25253902,789184,682,1,6,1.4076,103,1,1,1,4,0
CLI00072,Regular,Teléfono,Bogotá,Calzado,2023-02-26,2025-01-12,48,12,2570820,214235,687,1,3,0.524,204,0,3,1,8,0
CLI00073,Premium,Tienda física,Ibagué,Belleza,2023-04-09,2025-02-09,20,13,4325979,332767,673,1,5,0.5795,117,0,3,1,7,0
CLI00074,Corporativo,Tienda física,Bogotá,Ropa,2023-01-13,2025-01-20,40,26,20785491,799441,739,2,10,1.0555,99,1,1,0,7,0
CLI00075,Ocasional,Tienda física,Cartagena,Hogar,2023-04-08,2024-01-09,417,7,680844,97263,277,0,0,0.7581,76,1,4,0,3,1
CLI00076,Ocasional,Tienda física,Bogotá,Ropa,2023-07-04,2023-07-04,606,1,42760,42760,1,0,0,1.0,606,1,1,0,7,1
CLI00077,Corporativo,Teléfono,Bucaramanga,Calzado,2023-02-02,2025-01-22,38,26,24969711,960373,721,3,10,1.0818,95,1,1,0,6,0
CLI00078,Premium,App móvil,Cali,Tecnología,2023-01-05,2024-12-11,80,16,6786308,424144,707,1,5,0.6789,118,1,1,0,6,0
CLI00079,Regular,E-commerce,Medellín,Ropa,2023-01-02,2025-01-15,45,10,1569747,156974,745,1,7,0.4027,301,0,4,0,9,0
CLI00080,Premium,Tienda física,Cartagena,Deportes,2023-01-19,2024-12-16,75,18,5868679,326037,698,1,3,0.7736,154,1,4,0,3,0
CLI00081,Online,Teléfono,Ibagué,Belleza,2023-04-04,2025-01-23,37,11,1575950,143268,661,1,3,0.4992,301,1,4,0,10,0
CLI00082,Ocasional,App móvil,Medellín,Deportes,2023-02-25,2024-02-23,372,2,214984,107492,364,0,0,0.1648,363,0,1,1,4,1
CLI00083,Regular,App móvil,Ibagué,Tecnología,2023-01-08,2024-01-31,395,11,1724833,156803,389,0,0,0.8483,84,0,3,1,1,1
CLI00084,Premium,App móvil,Cúcuta,Hogar,2023-01-25,2024-12-04,87,19,6377931,335680,680,1,6,0.8382,195,0,3,0,9,0
CLI00085,Regular,E-commerce,Medellín,Calzado,2023-02-09,2024-02-27,368,17,3193503,187853,384,0,0,1.3281,70,0,1,0,5,1
CLI00086,Regular,Teléfono,Cali,Ropa,2023-02-15,2024-12-23,68,6,1137884,189647,678,1,2,0.2655,267,1,2,0,3,0
CLI00087,Ocasional,E-commerce,Cúcuta,Ropa,2023-02-25,2023-09-29,519,4,457713,114428,217,0,0,0.553,163,1,4,0,2,1
CLI00088,Ocasional,App móvil,Bucaramanga,Deportes,2023-06-22,2023-07-03,607,2,208864,104432,12,0,0,2.0,11,1,1,0,7,1
CLI00089,Online,E-commerce,Montería,Hogar,2023-03-05,2024-07-31,213,10,1122544,112254,515,0,4,0.5825,129,0,2,0,1,1
CLI00090,Regular,App móvil,Barranquilla,Hogar,2023-10-28,2025-01-31,29,6,1211770,201961,462,2,2,0.3896,303,0,3,1,7,0
CLI00091,Premium,Teléfono,Cali,Libros,2023-02-16,2025-02-16,13,7,2254121,322017,732,1,5,0.2869,322,0,4,0,10,0
CLI00092,Ocasional,Teléfono,Medellín,Libros,2024-06-09,2025-02-26,3,3,311171,103723,263,1,3,0.3422,220,1,2,1,6,0
CLI00093,Corporativo,Tienda física,Bucaramanga,Libros,2023-01-25,2024-12-09,82,28,24859971,887856,685,1,10,1.2263,63,1,4,0,7,0
CLI00094,Ocasional,E-commerce,Medellín,Libros,2024-02-27,2025-02-26,3,3,239319,79773,366,1,2,0.2459,353,1,2,1,8,0
CLI00095,Corporativo,Teléfono,Cúcuta,Hogar,2023-01-14,2025-01-16,44,20,16603673,830183,734,3,11,0.8174,156,1,2,1,10,0
CLI00096,Regular,Teléfono,Bucaramanga,Calzado,2023-01-23,2025-02-22,7,8,1384332,173041,762,1,3,0.315,279,0,4,0,8,0
CLI00097,Regular,App móvil,Montería,Hogar,2023-04-18,2024-12-24,67,13,2547944,195995,617,1,6,0.6321,118,0,4,1,8,0
CLI00098,Regular,Tienda física,Medellín,Belleza,2023-04-14,2025-01-02,58,5,813013,162602,630,1,2,0.2381,281,0,3,0,9,0
CLI00099,Premium,Tienda física,Ibagué,Ropa,2023-01-01,2024-08-11,202,18,5602317,311239,589,0,7,0.9168,129,1,4,1,3,1
CLI00100,Premium,Teléfono,Barranquilla,Tecnología,2023-01-23,2025-02-14,15,15,5480809,365387,754,1,7,0.5968,120,1,1,0,10,0
CLI00101,Premium,E-commerce,Cartagena,Deportes,2023-01-18,2024-03-16,350,18,5861873,325659,424,0,2,1.2736,100,1,2,0,3,1
CLI00102,Ocasional,App móvil,Pereira,Libros,2023-06-05,2024-03-11,355,4,456886,114221,281,0,1,0.427,171,0,2,0,1,1
CLI00103,Regular,E-commerce,Cartagena,Belleza,2023-01-15,2025-01-20,40,9,1952243,216915,737,1,1,0.3664,407,1,4,0,7,0
CLI00104,Regular,App móvil,Cúcuta,Calzado,2023-03-06,2024-12-20,71,15,2863976,190931,656,1,8,0.686,127,0,3,1,10,0
CLI00105,Online,App móvil,Ibagué,Tecnología,2023-03-22,2025-01-24,36,14,1803682,128834,675,1,6,0.6222,204,0,1,1,10,0
CLI00106,Regular,Teléfono,Medellín,Belleza,2023-01-14,2024-01-26,400,20,3512191,175609,378,0,0,1.5873,92,1,4,1,4,1
CLI00107,Regular,E-commerce,Pereira,Tecnología,2023-04-29,2024-02-23,372,9,1436182,159575,301,0,0,0.897,173,1,2,1,1,1
CLI00108,Ocasional,E-commerce,Cali,Libros,2023-03-04,2023-10-18,500,3,305435,101811,229,0,0,0.393,127,1,3,0,2,1
CLI00109,Regular,Tienda física,Medellín,Hogar,2023-08-31,2025-02-08,21,6,1036030,172671,528,1,1,0.3409,478,1,2,1,8,0
CLI00110,Premium,Tienda física,Bucaramanga,Tecnología,2023-01-02,2025-02-22,7,18,6454929,358607,783,1,6,0.6897,133,1,2,1,7,0
CLI00111,Regular,App móvil,Cartagena,Deportes,2023-02-14,2025-01-10,50,11,2159646,196331,697,1,4,0.4735,155,0,2,1,8,0
CLI00112,Regular,Teléfono,Cali,Deportes,2023-02-03,2024-03-01,365,8,1612464,201558,393,0,1,0.6107,123,0,2,1,5,1
CLI00113,Online,Teléfono,Ibagué,Calzado,2023-01-13,2025-02-08,21,9,1346692,149632,758,1,2,0.3562,344,1,1,1,9,0
CLI00114,Corporativo,E-commerce,Barranquilla,Tecnología,2023-02-02,2025-01-06,54,20,16792164,839608,705,1,5,0.8511,122,1,1,1,8,0
CLI00115,Ocasional,Teléfono,Cúcuta,Libros,2023-01-30,2025-01-06,54,4,397071,99267,708,1,2,0.1695,285,0,4,0,9,0
CLI00116,Online,App móvil,Cali,Hogar,2023-03-02,2025-02-21,8,10,1319254,131925,723,1,3,0.4149,212,0,3,0,9,0
CLI00117,Corporativo,App móvil,Pereira,Belleza,2023-01-10,2024-06-06,268,25,18604976,744199,514,0,3,1.4591,87,1,4,1,7,1
CLI00118,Regular,E-commerce,Barranquilla,Tecnología,2023-02-13,2025-01-25,35,12,2408955,200746,713,1,6,0.5049,265,1,3,0,4,0
CLI00119,Online,Teléfono,Barranquilla,Libros,2023-04-15,2025-02-11,18,6,807762,134627,669,1,2,0.2691,255,0,3,1,3,0
CLI00120,Regular,E-commerce,Montería,Tecnología,2023-03-10,2024-09-10,172,10,1894289,189428,551,0,4,0.5445,169,1,1,0,3,1
CLI00121,Corporativo,App móvil,Medellín,Hogar,2023-02-11,2025-01-01,59,27,20611561,763391,691,1,11,1.1722,115,0,2,0,8,0
CLI00122,Online,Tienda física,Pereira,Calzado,2023-01-19,2025-01-28,32,19,2861052,150581,741,2,9,0.7692,178,1,3,0,9,0
CLI00123,Regular,App móvil,Bucaramanga,Belleza,2023-05-04,2025-01-22,38,9,1872497,208055,630,1,4,0.4286,156,1,4,0,10,0
CLI00124,Premium,App móvil,Cúcuta,Hogar,2023-02-12,2025-02-01,28,20,7512629,375631,721,1,8,0.8322,117,1,2,0,8,0
CLI00125,Regular,Tienda física,Cúcuta,Hogar,2023-01-26,2024-02-16,379,9,1892238,210248,387,0,0,0.6977,145,0,3,0,4,1
CLI00126,Regular,Tienda física,Pereira,Tecnología,2023-01-27,2025-02-28,1,11,2206288,200571,764,4,6,0.4319,149,1,2,0,10,0
CLI00127,Corporativo,E-commerce,Bogotá,Libros,2023-01-09,2024-12-08,83,19,15532316,817490,700,1,5,0.8143,174,1,3,0,9,0
CLI00128,Online,Tienda física,Bogotá,Libros,2023-01-05,2024-02-09,386,12,1591770,132647,401,0,0,0.8978,149,0,1,1,1,1
CLI00129,Premium,App móvil,Barranquilla,Libros,2023-01-26,2024-12-14,77,14,5348079,382005,689,1,8,0.6096,161,0,3,0,10,0
CLI00130,Regular,E-commerce,Bucaramanga,Deportes,2023-01-04,2024-04-19,316,9,1885135,209459,472,0,1,0.572,114,1,3,0,6,1
CLI00131,Regular,E-commerce,Montería,Libros,2023-02-16,2023-12-23,434,12,1812133,151011,311,0,0,1.1576,81,0,4,0,5,1
CLI00132,Regular,App móvil,Medellín,Deportes,2023-03-16,2025-01-06,54,11,2166966,196996,663,1,5,0.4977,137,0,2,1,8,0
CLI00133,Premium,Teléfono,Barranquilla,Belleza,2023-01-26,2024-12-13,78,16,5390695,336918,688,1,9,0.6977,150,0,2,1,6,0
CLI00134,Regular,Teléfono,Cartagena,Ropa,2023-01-12,2024-03-12,354,11,1842452,167495,426,0,1,0.7746,167,1,4,1,8,1
CLI00135,Online,E-commerce,Bucaramanga,Deportes,2023-02-04,2025-02-10,19,11,1755788,159617,738,1,6,0.4472,156,0,4,0,10,0
CLI00136,Regular,E-commerce,Cali,Belleza,2023-01-07,2025-01-16,44,8,1475936,184492,741,1,2,0.3239,263,1,2,0,9,0
CLI00137,Regular,Tienda física,Barranquilla,Deportes,2023-01-24,2024-12-08,83,13,2455441,188880,685,1,9,0.5693,186,1,1,0,9,0
CLI00138,Ocasional,Tienda física,Bogotá,Deportes,2023-02-06,2024-12-12,79,3,325906,108635,676,1,1,0.1331,499,1,1,1,9,0
CLI00139,Regular,Tienda física,Medellín,Deportes,2023-01-08,2024-12-22,69,7,1246278,178039,715,1,3,0.2937,183,1,2,0,7,0
CLI00140,Online,Tienda física,Bogotá,Tecnología,2023-02-01,2025-01-14,46,11,1616107,146918,714,1,5,0.4622,231,1,4,0,3,0
CLI00141,Online,Tienda física,Barranquilla,Ropa,2023-03-11,2025-02-27,2,10,1666712,166671,720,1,4,0.4167,164,0,4,1,10,0
CLI00142,Regular,E-commerce,Ibagué,Ropa,2023-01-30,2024-12-03,88,8,1601949,200243,674,1,3,0.3561,234,0,4,0,7,0
CLI00143,Regular,Tienda física,Cúcuta,Belleza,2023-01-13,2024-12-18,73,9,2112521,234724,706,1,2,0.3824,246,0,1,1,6,0
CLI00144,Regular,App móvil,Cúcuta,Hogar,2023-05-12,2025-02-19,10,12,2255558,187963,650,1,5,0.5538,233,1,4,1,9,0
CLI00145,Regular,Tienda física,Cali,Tecnología,2023-04-30,2024-07-23,221,16,3276300,204768,451,0,5,1.0643,117,1,4,0,5,1
CLI00146,Premium,E-commerce,Ibagué,Deportes,2023-02-04,2025-02-15,14,15,5092773,339518,743,2,7,0.6057,203,1,4,1,7,0
CLI00147,Ocasional,Teléfono,Montería,Hogar,2023-03-01,2024-05-14,291,4,335967,83991,441,0,1,0.2721,333,1,1,1,9,1
CLI00148,Regular,Teléfono,Cartagena,Hogar,2023-05-13,2024-03-20,346,10,1705328,170532,313,0,1,0.9585,70,1,2,1,5,1
